,analytical Tweets
0,Do you always tend to get clumsy in an awkward  situation  during an interview and end up looking stupid Dont worry everyone has been there done that Imagine yourself in the place of the interviewee and answer this question  stayhome  coding  india  covid19  lockdown pictwittercomPpcF5SXkTp
1,In view of the prevailing  situation  arising out of COVID19  NagpurMetro  has taken another unique step It has installed Paddle Operated NonTouch Handwash System at its casting yard The machine has been liked by the workers and has been very well appreciated by them utMoHUA pictwittercom3duqn4uPe3
2, COVID19   situation  in occupied Balochistan is getting worst day by day 90 Baloch population of 30 million is effected due to CoronaVirus    Director Health Balochistan in Quetta told this during a press conference today
3,If with 32crore population USA reports more than 10lakh  COVID   19  positive cases then just imagine  India s with 130cr Steps are in the wellbeing of our population I support the govt in Lockdownextention  This is tough situation StayHomeStaySafe  and please  follow Lockdown3
4,For the May 25th edition of the COVID19   Situation  Report we provide an update on the recent surge in presumptive cases and how they are being resolved as well as TBRHSC s ongoing pandemic response  https bitlyCOVID19May25    TBay  onhealth  COVID19Ontario
5,Interviewers will have to be especially careful asking questions during Match201  such as how did you handle COVID19  socialdistancing  as this may place applicants in the uncomfortable  situation  of disclosing their relationship and family statuses economic situations etc
6,It is not the central govt to decide the zone but the medical officer at the ground The data from ground will make the  situation  will decide what should be done and should not be  CovidKarnataka  DIPR COVID19   pictwittercomueKXK2k6Ci
7,Keep on blaming each other This is a war like  situation   Try to visualize the results in a war if Armed forced n govt blame each other Advantage for the enemy In our case  Covid19  and our neighbours
8,Prime Minister Narendra Modi today announced the  extension  of nationwide  lockdown  till May 3 in view of the coronavirus disease  Hindustan Times sanchx  explains why  India  needs  lockdown  Watch   Lockdown2  COVID19   pictwittercomRoGlTkHgxb
9,The generation under estimated by Society always once again prove that they can lead the direction for humani race even in  situation  like COVID19  Kalpana being part  RestlessIndia  is proving same unlike various young people associated with us MyWorld2030  BlackLivesMatter https twittercomRestlessIndia status1268193385753579520   …
10,Will extension of stay be granted on new passport number My application with old passport number is already pending due to  COVID19   situation
11,India  all set for  Unlock  1 as  Covid  19  cases continue to soar now 7th worsthit country in world  India  has now become the worlds seventh worsthit country in terms of coronavirus cases with its tally of 182143 according World Health Organizations    httpswww indiatodayinindiastoryin diacoronaviruscovid19totalcasestallydeathtollcuredrecoveredmay31lockdown5unlock1168406620200531   …
12,The call has been postponed to April 2021 on account of the COVID19   situation 
13, KTRTRS   KTR sir we all know that people are suffering due to  COVID19  This is a very critical  situation  People are struggling to survive in this pandemic time According to my knowledge the  only solution is to make the lockdown very strict at least in our state Thank you
14, amcoren    You havent post anything new Saw the onair convo between you  vausecnn  today Still biased  reporting on the  situation  in Beijing   Falsely implying that China  intentionally spread COVID19  throughout the World  journalism  journalist   aaja  spjtweets
15,If this is what they can do after lockdown its a very sad  situation  I would never wish death on anybody without cause but if these people get  Covid19  they deserve it and I hope our caring doctor  nurse dont treat them caringly suffer they will
16, PMOIndia   please  extension  lock down other wise cannot control  covid19  in  india
17,India  will have measured  lockdown   extension  PM Modi  JAAN BHI JAHAAN BHI httpswww indiatodayinindiastoryco ronaviruslockdownextensioncertainasindiaseesanother1000casedailyspikewhathappenedtoday166600920200412   …
18,Seems you dont really  understand the  situation  on the streets  Even on this platform some still doubt the existence of  Covid19  Dokpesi even compared it to Malaria Gosh 
19,We know the economy of the world is collapsed but its a pandemic virus called COVID19  situation  We need to Stay home stay protected from COVID19 COVID19   Covid19   CoronavirusPandemic   StayHome   stayprotected   NovelCoronavirus   Corona
20,Telangana Chief Ministers Office now clarifies that CM K Chandrasekhar Rao suggested  extension  of  lockdown  for 2 more weeks after April 15 He took a reference from BCG report which suggested  lockdown  in  India  will be good until June 3 No announcement of  extension  yet   ANI  pictwittercomlDVdPFc1Wp
21,The current scenario of country is not something to trifle with where  covid19  cases are so high This  situation  is not ideal for any form of examination online or otherwise PromoteAllWBCollegeStudents   BengalAgainstExam   MamataOfficial
22,The states which demand the  extension  of  lockdown  should be allowed that But states like Kerala can have relaxations Actually center must start giving relaxations to statesin a congregated way Only when  India  is taken together as a countrywe can do something for our economy
23,I have a sincere question how does a night curfew help prevent Coronavirus in anyway Other than put forth the illusion that the government of  India  is doing something lockdown  unlock  Lockdown5
24, COVID19  Delhi   Situation  in Delhi is really dangerous Central and state government should have proper coordination Private hospitals should be taken under government surveillance narendramodi  PMOIndia  ArvindKejriwal  drharshvardhan
25,Does anyone know the current covid19   situation  in Navajo nation  Was planning to travel near that area for memorial weekend
26,Hi Polly As our items are made to order at the time of ordering the lead times are made clear We have however had to increase our lead times temporarily due to the impact  CoVid19  This is a changing  situation  andif the  situation  improves that these times come down
27,If all the distress due to the COVID19  pandemic  and the lockdown  was not enough about 30000 people in 5 districts of Assam are now affected by floods With extremely heavy rains being forecast the  situation  would only get worse
28,In the global response to Covid19  people with disabilities  are forgotten about and left behind And the stakes aren’t low this is a life or death  situation  Sign our petition to end disability  discrimination  httpwww sightsaversorgcovidcampaign    EqualWorld  SightsaversPol  https
29,Coronavirus  India  Live Updates  Unlock  10 Guidelines   Covid  19  State Wise Cases Live Tracker   Unlock  1  India  Rules – The Financial Express  https saanvinewsin20200607cor onavirusindialiveupdatesunlock10guidelinescovid19statewisecaseslivetrackerunlock1indiarulesthefinancialexpressutmsourceReviveOldPostutmmediumsocialutmcampaignReviveOldPost   …
30,Covid19  and the migrant  situation  has shown that Polity in India has no care in the world for anything apart from holding onto their regime or toppling it depending whether you are in power or opposition Its bringing morning but shame to the nation MigrantWorkers  Covid19
31,The insidious COVID19  has impacted almost every sector around the world including the economic  educational  and industrialsectors  directorBIMTECH  shares his thoughts on these impacts  ways to overcome the current  situation   Link  https bitly2ZXmDMc     ImpactOfCovid19
32,Grassroots NHS  organisation NHSMillion  what to know how YOU feel about the cummings   situation   How you normally vote  if you back BorisJohnson  Lets try for a million votes please RT if you think useful survey  poll  haveyoursay  twitterpoll  cummingsandgoings  COVID19   https twittercomNHSMillionsta tus1264607743073226754   …
33,What I cant understand is the media and the journalists who have dropped the ball The border  situation  should always be front and center along with  COVID19  Why does it feel like were being gaslighted and manipulated
34,India  Spices Most up on supply woes amid likely  lockdown   extension   https globalrubbermarketscom209373indias picesmostuponsupplywoesamidlikelylockdownextensionhtml   …
35,Lockdown   Extension  News  Coronavirus Corona  Symptoms Latest Frequently Asked Questions Faqs In Hindi Update  India   COVID   Lockdown   Extension   कोरोना के लक्षण बदलने का मतलब यह नहीं कि वायरस बदल रहा है लक्षण कुछ लोगों में कम…  https notsocommoninlockdownexten sionnewscoronaviruscoronasymptomslatestfrequentlyaskedquestionsfaqsinhindiupdateindiacovidlockdownextensione0a495e0a58be0a4b0e0a58be0a4a8e0a4be   … pictwittercom3rcYAk64tS
36,HE didnt face  COVID19  kind of  Situation  how would you make MR Singh pass without an examination
37,Dear sir  We understand the  situation  in this unprecedented time  GOK is taking necessary measures to control  Covid19  We request you to however contact the health dept for assistance on 08046848600  66692000   Regards  Covid19Karnataka
38,June 11 2020 PCOL POKLAY PD conducted a Provincial Inter Agency Task Force Meeting on Persons deprive of Liberty in relation to  COVID19   situation  held at Camp Macabulos COVID19  PNPKakampiMo  policeregionaloffice3  rpcrdprothree  ntfelcac pictwittercomhBM73e94c8
39,If there is an  extension  in the  lockdown  i fear many may loose jobs homes due to non payment of emi and lives due to shortage of cash The need of the hour is to atart factories will minimum 20 labor in  India  We are labor intensive country and can survive if allowed to work
40, airindiain   Hi I had booked a flight on May 5th from Heathrow to Kolkata but due to the  lockdown   extension  my flight was cancelled I repeatedly contacted Air  India  but got no response Please help me out I am a student with no more savings left
41, KTRTRS  any answers to prove that there is no negligence on Covid treatment as many people within and outside the state thinks TS govt doing good in handling COVID19  but actual  situation  turned out to be disastrous please take care
42, COVID19   Situation  à Douai   À 18h la Ville de Douai et le maire répondront à vos questions sur le déconfinement en direct sur facebook durant 30 minutes    httpwww villedouaifr    pictwittercomaWKcd0UGGZ
43, COVID19  regulators flex to support Australia’s pandemic response … Dr Anne Tonkin  Martin Fletcher Ahpra  openaccess  in InSight … We are committed to being flexible  sensible re the  situation  in which doctors find themselves  https insightplusmjacomau202019covid 19regulatorsflextosupportaustraliaspandemicresponse   …  MedTwitter pictwittercomfNy7OhxDZn
44,Agreed The measures put in place in the park were due to a public health crisis  implemented on a emergency basis Similar steps were taken worldwide due to COVID19  Thats why the sneaky ParkBoard  attempt to hijack  exploit the  situation  for another agenda is so appalling
45,Latest WHO  COVID19   situation  report 9 May  95845 new confirmed cases  6388 deaths in last 24 hrs    Global pandemic response plan requires 67 billion    New guidance released for adapting coronavirus  response in humanitarian settings       https bitly2LhseUV   pictwittercom2lYfpFiAwe
46,The Ministry of Defence  has extended the delivery period for all existing capital acquisition contracts with the Indian vendors by four months due to supply chain disruptions arising out of COVID19   situation   COVID19India
47,Epidemic Health WHO  issues  Situation  Report 139 Lists 6799713 confirmed global cases of COVID19  Novel Coronavirus  with a total of 7103 confirmed dead inside the Western Pacific 183732 in Europe  and 179394 in the Americas   http htlyJxzC30qNAKZ  
48,The coronavirusInkenya   situation  is getting serious  80 new COVID19  infections confirmed in the last 24 hours  pictwittercomKQhea8nHI0
49,India  May See First Contraction in 40 Years on  Lockdown   Extension    httpswww bloombergcomnewsarticles 20200415indiamayseefirstcontractionsince1980onlockdownextension   … 
50,I pray for the good health and good fortune for all during this time of national and global crisis Innocent protesters as well as the cops trying to manage the  situation  May Krishna  protect you all Hare Krishna BlackLivesMatter  BlueLivesMatter  COVID19
51,as if the  covid19   situation  in america is not bad hes declaring war against his own citizens this rapist pedo needs to get kicked out of his chair literally  https twittercomABCstatus126 7591223625351170   …
52, VocalForLocal  considering all my conversations during  lockdown  and all future ones if Lockdownextention  Lockdown4   happens it would be in India  s best interest if PMModi  Narendermodi  sir would take over and own Instagram  and Netflix  MakeInIndia pictwittercomiDEKBA5Z0K
53, BENGALAgainstExam  KalyaniUniversityAgainstExam  Please dont arrange examination in this  situation  due to  COVID19  pendemic  DrRPNishank  HRDMinistry  ugcindia  itspcofficial  MamataOfficial  IamSumanDe
54,The concept of  lockdown  with zone wise is the best option for a country like  India  If Delhi incident has not occurred we could have numbers below 7500 The  extension  is good move expect for Lutyens and some irresponsible pseudo liberals who write articles defaming 13 billion
55,Both Finland  and Denmark  are publicly saying they are considering treating travellers from Sweden  differently when they open up the borders again The COVID19   situation  in Sweden is alarming Finnish interior minister Maria Ohisalo said today
56,The CCMC Course has been created with the real insights from experienced healthcare professionals Know more about the course  https bitlyccmctwt     Lockdownextention  Lockdown4  InternationalNursesDay  India  Lockdown  IndiaFightsCorona  Coronavirus  COVIDー19  COVID19  CCMC pictwittercomLsXGGgQWQm
57,What  situation   The fact  that people ignored the SIP  lockdown   we’ve been impacted by more OD deaths that coronavirus  COVID19  deaths since March 1st  That is the  situation  now
58, Uttarakhand  government will consider resumption of Char Dham Yatra in a limited manner after June 8 and a decision will be taken keeping the current  situation  in mind Uttarakhand CM Trivendra Singh Rawat COVID19
59, McIlroyRory  However famous or brilliant you are  you have the same right as anyone else to having opinions and views I applaud your strength of character in saying what you think about the Presidents selfish political approach to the whole  Covid19   situation 
60,‘Current COVID19   situation  in India could have been avoided if MigrantWorkers  allowed to go before lockdown’ https nenowinnortheastnew scurrentcovid19situationinindiacouldhavebeenavoidedifmigrantworkersallowedtogobeforelockdownreporthtml   …
61,I hope government should be right decision  lockdown  40 India  Lockdown4  FightAgainstCoronavirus
62,I know It gives me nightmares I am imagining we will have the same  situation  as 1918 COVID19  GOPGenocide  TrumpOwnsEveryDeath https twittercomRobertEKelly status1259699375212687361   …
63, ShekharGupta  is mostly biased when it comes to narendramodi    Extension  of  lockdown  in  India  will depend on Gods will strain of virus immunity of labourers heat  Modi is good at Ideas but his team is poor in implementation
64,Our government has just declared that it will very gradually ease the CoronavirusLockdownUK    Germanys  situation  vindicates that decision as three days after they opened up their economy the Covid19  reproduction rate has risen to 11  StayAlert httpswww telegraphcouknews2020051 0germanysinfectionraterisesoneeaselockdownlisourceLIlimediumliftigniterrhr   …
65,Computer viruses of course can go around a world in a few seconds I sort of knew somewhere in my head that a  Covid19   situation  could happen but I didnt pay much attention to it  Now none of us have any choice And this could happen again And again
66,As of 14 May 2020 2130 the current  situation  regarding COVID19  in Turkey and around the world  A total of 1508824 tests have been performed There are currently 144749 confirmed cases 4007 related deaths and 104030 discharges in Turkey  pictwittercomxR7ZXYhXos
67,Who else is in this  situation    Ryanair   ryanairrefund   COVID19   pandemicissues
68,73 of startups globally felt a negative impact on their business at the start of the COVID19 crisis However 40 think the  situation  is getting better now   Learn more about the impact and opportunities of COVID19  on startups on  http datastationfco   pictwittercomqzGz7yXJl1
