,Anger Tweets
0, WinNews   Corona  CoronaVirus  Covid19  IndiafightsCorona  Pandemic  Outbreak  stayhome  stayhomestaysafe  India  tntogetheragainstcorona   TNLockdown   Lockdown5   pictwittercomsLcWkfvXpP
1,It is the constitutional right of all prisoners to be safe and healthy in jail and seeing the COVID19   situation  Government should immediately release them on parole SavePrisonersGrantParole
2,Thats important information arrivanorthwest  yet this current CoronaVirus   COVID19   situation  is causing Key Workers transferring their stress on to Customers Ive witnessed it within Retail  Do you offer your Bus Drivers counselling or anger management training   pictwittercomnvJIS1PtbG
3,People on Twitter who want  Lockdown  to end at this point should be really allowed to roam free outside At least well have lesser idiots in  India  once were out of this crisis  lockdownextension  Lockdown5
4,Seeing a public hairi am immediately dumping this Shame on swiggyin   Please ban swiggyin  till  situation  of COVID19  remains Two days before i reported an issuethey gave me a parroted response Surat pictwittercomfhVjCnm5Yl
5, MichelBarnier  Please dont cave in  give relaxation on border control otherwise it will destroy the EU and open flood gate for exiters stick to your gun they will ultimately agree to EU demands because of desparate  Covid19   situation   httpswww expresscouknewsuk129405 7brexitnewsmichelbarniereutradedealtalkscompromisenodealbrexit   …
6,You first think about the current  COVID19   situation  in your own country had a discussion  PAH Useless governance
7,Trump valet tests positive for COVID19  It is sadly ironic that Donald J Trump has breathed the same air as his valet because he refuses to wear a mask He gets mad about it which is laughable because he caused the  situation  Trumps ego impairs his judgment VoteBlue pictwittercomqvAOu8NxUr
8,Oh I just hate this whole horrible  situation    COVID19  coronavirus
9, IndiaFightsCorona    COVID  StayAtHome  CoronaVirusUpdate  CoronavirusPandemic  CoronaUpdatesInIndia  COVID2019  FightCovid19  TipsToFightCorona  SocialDistancing  SocialDistance  lockdown  unlock  india  UP  allahabad  Prayagraj  MIB  FOB pictwittercomRu0ivQXPz1
10,I m really frustrated by this covid confienment  situation  We are truely living in the odd times I really curse the people who are really responsible to let this  situation  go out of hands and now many people are loosing their loved onesCOVID19  coronavirus
11,The job  situation  will get worse in IndiaFightsCOVID19  and elsewhere Awful HDFCBank  job  COVID19  COVID19 httpswww livemintcomcompaniesnews hdfcbanksubsidiaryhdbfinancialservicessacksseveralduringlockdown11589043618135html   …
