,fear Tweets
0,After Taali  Thaali Diya and Ghanti  One more deadliest weapon added to fight  Covid  19  in  India  which is Phoolpatti  Lockdownextention  Lockdown3  lockdownindia
1,If there is an  extension  in the  lockdown  i fear many may loose jobs homes due to non payment of emi and lives due to shortage of cash The need of the hour is to atart factories will minimum 20 labor in  India  We are labor intensive country and can survive if allowed to work
2,Covid19   situation  In Jodhpur needs serious intervention of authorities Not sure what level of awareness or strictness will make citizens realise the is serious ashokgehlot51  Please take some strategic step to kill this  situation  and NOT people गहलोतकुछतोकरोना
3,The Executive committee of J K High court Bar Association in its meeting held in virtual mode today discussed the emergent  situation  which has cropped today about threat of COVID19  looming large upon inmates of Tihar Jail Prison as reported in Zee News bulletin today
4,Gas leak at LG Polymers in Vishakapatnam  Many are suffocating Aged and children are most vulnerable and are being evacuated swiftly  This is more scariest and terrifying  situation  than COVID19    Request to all please d visuals of VizagGasLeak   pictwittercomdwgzexC50x
5,Atleast give us a Press release to avoid panic  situation  to Andhra  NRI  s We will b v happy if our CM ysjagan  garuprovide free Quarantine to NRIs like vijayanpinarayi  in Kerala   COVID19  APFightsCorona
6,The  situation  is 1 that all states should be doing because  covid19  may be worse in the fall putting too many at risk My state Nevada has excellent voting system  is leading the way for security Paper trail early vote options register via DMV ID verification
7,Scary stat of the day  India  has witnessed more Covid  19  cases than Italy today  Lockdown3
8,Yeah I think there’s a lot of people in the same  situation   We all need to be careful that the fear of  Covid19  is not causing more problems than the risk of catching it  Hope you are ok bonny lad 
9,Does it feel like as bad as the COVID19  is the political  situation  is far far scarier Two partys that are fighting for power and control not for us not for the USofA  or anyone else
10,He closed up so much becos of all the stalkers and esp in this  covid19   situation   im so worried for him  GiveYiboSpace https twittercomybcoolboi85st atus1259158671465971712   …
11,M7 Some truck drivers are being found with diseases like pressure and diabetes This is dangerous a truck driver should be like a pilot This  situation  has awakened us COVID19
12,So glad that COVID19  is more under control and the dentist could reopen The hole in my tooth was definitely in an emergency  situation  Deep cavity  inflamed nerve  pain  root canal  lots of freezing 
13,There is no reason to panic I said as mortality rate due to Covid19  remains low in  India  whereas the recovery rate is high Do not slacken on the precautions  Read my full Interview in todays DeccanHerald    Lockdown4  CoronaOutbreak  SwasthaBharat  COVID  Covid 19india pictwittercomHnafEjWLb0
14,Its a request please postpone mhtcet 2020 Covid19  is getting worse day by day and Maharashtra is leading in Covid19cases Its a huge risk to take exam in this  situation  and that too in Maharashtra which is the biggest hotspot ofCovid19 postponecet  HealthOverExams  udaysamant
15,Postpone BDS exams in punjab till  situation  normalizesDue to  covid19  spread it is not feasible to appear for exams from 7th july healthoversxams  postponebdsexams  captamrinder  ndtv  ugcindia  bfuhs  askthecaptain  punjabgovtindia  CMOPb
16,Returning to work is making many employees feeling scared and anxious during the Covid19  crisis we feel its important that all employees feel safe no matter what the  situation  is  Healthandsaftey  Coronavirus  Mentalhealth httpswww bmmagazinecouknewsukworker sanxiousaboutreturningtoworkplace   …
17,Extension  of  lockdown  necessary step in view of  Covid  19  threat Omar Abdullah   India  News  https dailynewsindiacomextensionofl ockdownnecessarystepinviewofcovid19threatomarabdullahindianews   …
18,We do not believe in fear We believe fear in a place like Moria is potentially even more harmful than the virus  Read our interview with Dutch NGO Movement on the Ground about the  situation  for migrants and aid workers amidst the COVID19  pandemic   httpswww infomigrantsnetenpost24600 coronavirusaidworkersandmigrantsonlesbosconcernedbutnotafraidsdsdsdsd   …
19,I fear for everyones’ safety notwithstanding COVID19  risks compounds this  situation  BlackLivesMatter
20, Telangana   The students who are not appear for  SSC  examination scheduled from June 8 to July 5 2020 due to COVID19   situation  will be allowed to appear for the advanced supplementary examination     Schools  Education  Exams2020  coronavirus  Hyderabad pictwittercomCoQVjV0sR8
21,In this critical  situation  covid19  its a risky process to conduct exams Please consider the  situation  of Hostlers KTRTRS  CancelTSExamsPromoteStudents  PromoteStudentsSaveLife  savetelanganastudents  savebtechdegreestudents  promotestudentssavefutre
22,Its becoming more dangerous now then ever as the relaxation in  lockdown  is lifting up fear is increasing as we are seeing green zones turning into orange n red We should be actually scared now then ever  COVID19  Lockdown3  PMOIndia  narendramodi  MoHFW INDIA
23,Some landlords are using harassment threats to force out tenants during COVID19  crisis  Tenants are being put in the precarious  situation  of having to endure hostility or leave their homes in the midst of a public health crisis  httpswww nbcnewscomnewsusnewss omelandlordsareusingharassmentthreatsforceouttenantsduringn1218216   …
24,Scary to look at Mumbai COVID19  numbers Dont understand what went wrong and how  situation  went out of control Biggest joke is to say no community transmission even in this  situation 
25,In last 24 hours  44 deaths in Karachi 23 deaths in Lahore COVID19     Situation  is genuinely getting scary
26, cancleapexamspromotestudents        How we are attend the college in local transportsif  exams are begin then this  situation  is happens  So    COVID19   will spread very quickly   So please promote us ysjagan  anna YSRCParty pictwittercomJOl5gRzwaB
27,There is no reason to panic I said as mortality rate due to Covid19  remains low in  India  whereas the recovery rate is high Do not slacken on the precautions  Read my full Interview in todays DeccanHerald    Lockdown4  CoronaOutbreak  SwasthaBharat  COVID  Covid 19india pictwittercomB5D5xekCHR
28,Thinking about job give me anxiety I suppose to resign happily this month but  covid19   situation  just make me restless Looking for jobs like looking for a needle in a haystack
29,The COVID19   situation  in the UK in a nutshell  BBC News  Coronavirus Cummings row raises fears over future of lockdown  httpswww bbccouknewsuk527939 91   …    CummingsMustGo  BorisHasFailed
30,How 602 nurses have left Bengal amid  covid19 When state is under  emergency  situation The concerned  State has sent Buses to carry themWhy the hospital authority has released them they must have  notice period before leavingThis   is not happening to other state
31,Failed in handling the covid19   situation   Failed in maintaining the diplomatic situations with foreign countries US threaten of retaliation China Pakistan Nepal Sri Lanka and Bangladesh all are against India Now China is killing our soldiers where is Modi   WeakestPMModi
32,It’s really scary UK is talking  lockdown   extension  SA now get on S2 of  lockdown   India  extended Mexico is cremating remains of  Covid  victims
33,Floods hunger  covid19  poor leadership dictatorship Uhuru is the most dangerous  situation  we have in Kenya today
34,Plz m deeply requesting to our Education minister MinisterEdu   plz Cancel the final year exams  We are literally scaring from the  situation  of COVID19   Noexam  EducationMinisterGoesLive  maharashtralockdown
35,We request you to postpone exams or promote all based on previous resultsConducting exams in the current  situation  is just a waste of everything thats been done to stop  COVID19  This is just one among other factors CancelTSExamsPromoteStudents  CancelAPExamsPromoteStudents
36,http Boingboingorgukanxietycovid 19acceptedtreatedblog   …    Very interesting read about not medicalising the anxiety  experienced during COVID19  we are having a normal  reaction to an abnormal   situation
37,As expected the  situation  is getting worse each day In the last 24 hours there have been more than 2000 new deaths due to  covid19  in India This is terrible scary and worrying trend for us We still have time to take tough decisions on this Every life is precious
38,Das Wiedererstarken des IS in Irak  Syrien  kann nicht nur auf die  Situation  unter COVID19  zurückgeführt werden Im letzten Jahr gab es kaum Hilfe beim Kampf gegen IS Gerichtsbarkeit oder Aufarbeitung der Verbrechen ISAngriffe Der Terror kehrt zurück  httpswww zeitdepolitikauslan d202005isangriffeiraksyriencoronapandemie   …
39, StudentsLivesMatters  We are not afraid of choice we are afraid for only The current  situation  Facing All Try To Realize What the  Situation  We Are inDayday increasing the cases  We first Focus on To Reduce the Cases Covid19  cncelPYClgExams  VNarayanasami  LGovPuducherry pictwittercomZuAPLZLi0g
40,WHO says coronavirus  situation  worsening worldwide Complacency is our greatest threat in curbing infection COVID19  Day75ofLockdown https ewncoza20200608who sayscoronavirussituationworseningworldwide   …
41,I am honestly panicking and getting super worried about family especially mom with deteriorating COVID19   situation  in PindiIsd region  Today I asked younger brother to buy Pulse Oximeter and keep at home just in case theres shortage in the market
42, Covid19  Coronavirus flattens personal finances One of the most harrowing statistics indicates that over 77 of participants were worried about their financial  situation  as a result of the coronavirus pandemic  https benonicitytimescozalnn1057434co vid19coronavirusflattenspersonalfinances   … pictwittercomCvhnlbQC1o
43,We cant risk our lives in this  situation  of    covid19  cant travel vth half knowledge This situations is not safe to conduct the exams as per jntukfast All zonesredgreen orange gathering at dangerous zone called EXAM CENTER  PromoteStudentsSaveFuture  ysjagan
44,IF the number of COVID19  infected cases continues to rise for the next month albeit the ultimate search for trusted solutions we would have massive unemployment and chronic debt  situation  on our hands That is a big IF I pray we never tolerate
