,sadness Tweets
0, COVID19   situation  in occupied Balochistan is getting worst day by day 90 Baloch population of 30 million is effected due to CoronaVirus    Director Health Balochistan in Quetta told this during a press conference today
1,Keep on blaming each other This is a war like  situation   Try to visualize the results in a war if Armed forced n govt blame each other Advantage for the enemy In our case  Covid19  and our neighbours
2,Situation  may be over 20 times worse than official figures I Pakistan Observer  Pakistan  Covid19  PakistanObserver  Punjab  Cases  Coronavirus  Worse  OfficialFigures  National  PunjabHealthDepartment pictwittercomHxQn6Q8uBf
3,Modi anounces   India   lockdown   extension  for more 21 days On ground  Trying to eliminate  corona  virus Underground  Trying to collapse government from NONBJP ruling states  madhyapradeshassembly  MadhyaPradeshPolitics   MahaVikasAghadi   BJPDonate4India
4,You’ve got to give them time  It’s only been a couple of months give or take It’s not a life or death  situation    At least not for them   CoronavirusPandemic  COVID19  COVID19Pandemic  coronavirus  Covid19UK  coronavirusuk https twittercomEmmaKennedyst atus1262354295678255104   …
5, KTRTRS   KTR sir we all know that people are suffering due to  COVID19  This is a very critical  situation  People are struggling to survive in this pandemic time According to my knowledge the  only solution is to make the lockdown very strict at least in our state Thank you
6,If this is what they can do after lockdown its a very sad  situation  I would never wish death on anybody without cause but if these people get  Covid19  they deserve it and I hope our caring doctor  nurse dont treat them caringly suffer they will
7,People like us who ship camera equipments from abroad  what are we going to do during this  Covid19   situation 
8,Delhi govt is working very hard to control coronavirus  COVID19   situation  there but please ArvindKejriwal  sir issue guidelines for people standing very close in front of LiquorShops
9,Seems you dont really  understand the  situation  on the streets  Even on this platform some still doubt the existence of  Covid19  Dokpesi even compared it to Malaria Gosh 
10,If all the distress due to the COVID19  pandemic  and the lockdown  was not enough about 30000 people in 5 districts of Assam are now affected by floods With extremely heavy rains being forecast the  situation  would only get worse
11,In the global response to Covid19  people with disabilities  are forgotten about and left behind And the stakes aren’t low this is a life or death  situation  Sign our petition to end disability  discrimination  httpwww sightsaversorgcovidcampaign    EqualWorld  SightsaversPol  https
12,It’s very hard sometimes to look up from your  situation  locally when working on COVID19  to see the bigger picture We’re in a pandemic that is almost every region of the world has been affected by this virus
13,What I cant understand is the media and the journalists who have dropped the ball The border  situation  should always be front and center along with  COVID19  Why does it feel like were being gaslighted and manipulated
14,For people without a home or struggling to stay housed COVID19  has made a terrible  situation  even worse Nan Roman of naehomelessness  describes what Congress must do in this new oped https twittercomnaehomelessnes sstatus1260662351625441283   …
15,Who got a haircut today retweet this  lockdown4  Maharashtra   Gujarat  pune  delhi  mumbai  newdelhi  Ahmedabad  vadodara  india  Acidattack  tiktok  BJP  modi  goverment  pmcare  pmfund  COVID19  coronavirus  death  redzone  modi  lahk  saloon  barbershop  panshop  wine
16,Thats not even from this YEAR he hasnt rallied since  Covid19  cute try though This is the crap people believe and turns a volatile  situation  worse
17,My  situation  was either furlough or risk infectionkilling family members by working at one of our sites still open for NHS staff and being exposed to  covid19 
18, KTRTRS  any answers to prove that there is no negligence on Covid treatment as many people within and outside the state thinks TS govt doing good in handling COVID19  but actual  situation  turned out to be disastrous please take care
19,It seems thanks to COVID19  we have a webcam  situation   Lead times of almost a full year prices tripled and more  I could do without that
20,The US authorities blame the Russian China for all the troubles the US authorities have many internal problems that they themselves are to blame the  situation  with mortality from  COVID19  in the US is exampl The US authorities consider their citizens and the whole world fools
21,Given the  situation  of Covid19  pandemic in USA we should keep border closed for at least 3 more month Otherwise a second wave may be a risk  cdnpoli
22,Badshah of  India  iamsrk    Agree or Die  NarendraModi  TuesdayThoughts  tuesdayvibes  NursesDay  pmmodiaddresstonation  NarendraModi  Modi  SalmanKhan  ShahRukhKhan  SachinTendulkar  Covid  19  Lockdown4   pictwittercomfIWj9udf85
23,Epidemic Health WHO  issues  Situation  Report 139 Lists 6799713 confirmed global cases of COVID19  Novel Coronavirus  with a total of 7103 confirmed dead inside the Western Pacific 183732 in Europe  and 179394 in the Americas   http htlyJxzC30qNAKZ  
24,85yrold Tamil Nadu Woman Sells ₹1 Idlis to migrants despite losses TamilNadu  Lockdown4  lockdown  lockdownindia  Narendermodi  india  Covid  19  PMOIndia  narendramodi  PMCareFraud https shrtsin6HHv  
25,It was INCIndia  lead by Dr MMS who tackled  India  brilliantly those days No any Indian even suffered but it is present govt who is clueless to counter  COVID  19  Once the  Unlock 1 started condition of  India  is worsen day by day  pictwittercomaCHU7G1FS3
26,So the huge number of deaths from  covid19  is just  situation  normal
27, COVID19  Health Min Maharashtra  rajeshtope11   Cases18120  New cases1362  25 discharge rate  35 patients critical  situation   Per million Cases India  34  Death rate per million India 1 We hv been able to control the  situation    WHO  doctorsoumya
28, PMOIndia  PM ji we knowthat u handle every  situation  better but we request u that plz stop the flights n buses it increases the infection of  covid19  very rapidlyEven all the ppl who stuck at somewhere during lockdown came back to their homeif u lockdown again v ready tofollow
29,Then tabassumb  breaks down the  situation  in Mumbai  and why theres a shortage of hospital beds for all patients and how the private sector will be drawn in to play a bigger role COVID19     https indianexpresscomaudio3things indiascovid19numbersexplainedmumbaishospitalbedshortagecycloneamphan6418035   …
30,Nowdays I am not following  covid19  news because I just cant read the  situation  the migrant workers are going through It is extremely sad  to read  that  a large portion of people are going through such  terrible conditions in this  pandemic
31, आशारामजीआश्रमद्वाराकोरोनासेवाकार्य  is a recommendable work done by disciples of Sant Shri Asharamji Bapu in this critical time period of lockdown  Many needy people are getting food and grains in this worst  situation  of Covid19   pictwittercomYhK9SqrGes
32,COVID19 Pathetic  situation  of IT  ITES Employees Who can come to their rescue  COVID19   httpswww telanganamatacomcovid19pathe ticsituationofititesemployeeswhocancometotheirrescue   …  Via telanganamaata
33,What  situation   The fact  that people ignored the SIP  lockdown   we’ve been impacted by more OD deaths that coronavirus  COVID19  deaths since March 1st  That is the  situation  now
