,tentative Tweets
0,India   Lockdown  extended till May 17th Lockdown3
1,SIR  India  me  Pravasi   majdur  bhi rahte h please do some workground level also
2,You’ve got to give them time  It’s only been a couple of months give or take It’s not a life or death  situation    At least not for them   CoronavirusPandemic  COVID19  COVID19Pandemic  coronavirus  Covid19UK  coronavirusuk https twittercomEmmaKennedyst atus1262354295678255104   …
3,nearly 15 mins of rambling last night made a bad  situation  even worse and people kicking off the Leader of the Opposition getting Air time 31000 dead please stop pretending this is anything other than a disaster COVID19
4,It seems George Orwell could have dreamt up the current  situation  of doublespeak and hypocracy some are more equal than others Maitlis  maitliswasright  61MPs  FlounderingBoris  COVID19  cummimgsout   DominicCummngs  lockdown2020 https twittercomrandombigbird status1265906968939638790   …
5,Infografik COVID19   Situasi terkini setakat 19 Mei 2020  Infographics  COVID19    Situation  update as at May 19 2020  pictwittercomPDiyEl8IIf
6,Seems you dont really  understand the  situation  on the streets  Even on this platform some still doubt the existence of  Covid19  Dokpesi even compared it to Malaria Gosh 
7,The current scenario of country is not something to trifle with where  covid19  cases are so high This  situation  is not ideal for any form of examination online or otherwise PromoteAllWBCollegeStudents   BengalAgainstExam   MamataOfficial
8,Considering the current  Covid19   situation  this may take a little longer than usual Request you to please wait for the timeline shared Regards
9,Covid19  and the migrant  situation  has shown that Polity in India has no care in the world for anything apart from holding onto their regime or toppling it depending whether you are in power or opposition Its bringing morning but shame to the nation MigrantWorkers  Covid19
10,India  Spices Most up on supply woes amid likely  lockdown   extension   https globalrubbermarketscom209373indias picesmostuponsupplywoesamidlikelylockdownextensionhtml   …
11,HE didnt face  COVID19  kind of  Situation  how would you make MR Singh pass without an examination
12,Thats not even from this YEAR he hasnt rallied since  Covid19  cute try though This is the crap people believe and turns a volatile  situation  worse
13, PMOIndia   narendramodi  MoHFW INDIA  see the video might be of some use COVID  19   Lockdown4   https twittercomAJEnglishstat us1262072892474273792   …
14,It seems thanks to COVID19  we have a webcam  situation   Lead times of almost a full year prices tripled and more  I could do without that
15,Covid19   Situation  Can Someone Please Do My Homework  Visit here  https besthomeworkhelpusablogspotcom202006covid1 9situationcansomeonepleasedohtml   … pictwittercomKegzOebZzc
16,India  May See First Contraction in 40 Years on  Lockdown   Extension    httpswww bloombergcomnewsarticles 20200415indiamayseefirstcontractionsince1980onlockdownextension   … 
17,So the huge number of deaths from  covid19  is just  situation  normal
18,The concept of  lockdown  with zone wise is the best option for a country like  India  If Delhi incident has not occurred we could have numbers below 7500 The  extension  is good move expect for Lutyens and some irresponsible pseudo liberals who write articles defaming 13 billion
19,Current  situation  of the COVID19  in Malaysia as of May 12 2020 5pm   StayAtHome                                    sayonaracorona  KitaJagaKita pictwittercomKsbgGtbwqI
20,‘Current COVID19   situation  in India could have been avoided if MigrantWorkers  allowed to go before lockdown’ https nenowinnortheastnew scurrentcovid19situationinindiacouldhavebeenavoidedifmigrantworkersallowedtogobeforelockdownreporthtml   …
21,1 COVID UCSanDiego  Chronicles  May 7 2020  Theof inpatients UCSDHealth  with COVID19  is relatively stable at 26 10 on vents Hospitalizations across SanDiegoCounty  might have passed peak but border and SNF  situation  is uncertain and we are still 2nd highest in CA  pictwittercomHf4W35MM4a
